Srl_Num,I generally plan my expenses and never spend more than my budget ,I often take opinions or check reviews before buying,I often experiment with new brands rather than just sticking to old ones ,I like to spend my weekends with friends than staying at home . ,My favorite subjects in school were Mathematics & Science rather than Literature,"I make it a point to do some physical exercises (like swimming, walking, yoga) almost everyday","When I go out for shopping, I end up buying more items just by impulse",I am active on almost all Social media  ,"I like light, sober colors to bright, exciting colors when it comes to clothing ",I prefer watching videos/shows online rather than watching them in the television,I prefer ordering in from online apps than dining out,"I follow Brands, celebrities, influencers on social media",I always try to keep up with new fashion trends,I prefer reading or listening to music rather than exercising or playing a sport,Which company's mobile phone do you use ?,From where did you purchase your phone?,Which flavor of soft drink do you like to have the most ?,Given below is a list of products. Please tell us how frequently do you use these products  [Shower gels],Given below is a list of products. Please tell us how frequently do you use these products  [Hand sanitizers],Given below is a list of products. Please tell us how frequently do you use these products  [Facewashes],Given below is a list of products. Please tell us how frequently do you use these products  [Hair Conditioner],I generally read news from,I generally prefer to buy clothes from,Age ,Gender,Occupation ,Your hometown ?,Roll Number ,Institute ,
633,8,5,7,6,9,8,4,5,8,4,4,5,8,5,Samsung,Retail,I do not consume soft drinks at all,Less Often,Everyday,Everyday,Less Often,Newspaper,Retail Stores,40-50,Male,Working Executive,Other towns in North,E2019012,GIM,
634,6,8,9,8,10,1,10,7,8,10,9,5,2,2,Xiaomi,Online,Cola,Less Often,Less Often,Less Often,Less Often,Online,Online,34-40,Male,Working Executive,Other towns in West,E2019013,GIM PT 19-22,
635,3,9,8,7,5,0,10,2,8,10,10,2,0,10,Xiaomi,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Working Executive,Other towns in South,E019022,Goa institute of management,
636,10,9,10,10,10,9,1,2,9,0,2,1,0,10,Apple,Retail,I do not consume soft drinks at all,Never,Everyday,Everyday,Less Often,Newspaper,Retail Stores,50-60,Female,Self Employed/business,Other towns in West,E2019025,GIM PT 2019-22,
637,8,10,10,10,10,5,0,2,8,9,2,0,0,8,One Plus,Online,Fruit flavour,Everyday,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in West,D21016,Praxis Business School,
638,5,5,8,7,10,8,8,2,8,10,1,1,1,5,One Plus,Online,Fruit flavour,Never,Less Often,Never,Never,Newspaper,Retail Stores,40-50,Male,Student,Kolkata,A21010,Praxis Business School,
639,6,8,7,10,10,0,3,7,5,9,4,5,3,1,Others,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in East,A21024,Praxis Business School,
640,8,9,6,9,10,10,3,0,9,5,3,0,2,0,Others,Online,White/Colourless,Less Often,Everyday,Less Often,Never,Online,Retail Stores,18-23,Male,Student,Other towns in North,D21032,PRAXIS BUSINESS SCHOOL,
641,5,10,7,9,10,7,1,4,2,10,5,8,9,3,Apple,Online,I do not consume soft drinks at all,Everyday,Everyday,Everyday,Everyday,Online,Online,24-28,Female,Student,Hyderabad,D21022,Praxis Business school,
642,9,10,5,0,5,8,0,1,2,0,0,0,0,0,Samsung,Online,I do not consume soft drinks at all,Never,Less Often,Less Often,Never,Newspaper,Retail Stores,18-23,Male,Student,Other towns in South,D21020,Praxis Business School,
643,4,9,9,10,9,3,9,10,9,10,10,2,5,10,Xiaomi,Online,White/Colourless,Never,Less Often,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Kolkata,A21020,PRAXIS BUSINESS SCHOOL,
644,8,9,7,10,10,10,7,3,9,10,5,5,5,6,One Plus,Retail,White/Colourless,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Mumbai,A21025,Praxis Business School,
645,2,10,4,3,10,10,9,9,9,9,7,9,3,1,Xiaomi,Online,Orange,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in North,D21014,Praxis Business School,
646,9,10,9,3,5,5,7,7,8,10,8,7,2,6,One Plus,Online,Cola,Less Often,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in North,D21013,Praxis Business School,
647,9,9,6,2,0,5,0,1,7,7,0,9,8,6,Apple,Retail,I do not consume soft drinks at all,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Other towns in North,D21004,Praxis Business School,
648,10,10,10,0,10,10,10,0,10,10,10,0,0,0,One Plus,Second hand mobile sources,I do not consume soft drinks at all,Never,Everyday,Everyday,Everyday,Online,Online,18-23,Male,Student,Delhi,d21036,praxis business school,
649,8,9,3,9,10,0,1,9,8,8,7,7,0,5,Samsung,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in South,D21018,Praxis Business School,
650,1,10,10,10,10,10,0,8,0,10,10,1,1,5,One Plus,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in North,A21015,Praxis business school,
651,9,10,8,5,9,10,3,7,7,8,5,8,8,3,One Plus,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in East,A21028,PRAXIS BUSINESS SCHOOL,
652,6,7,3,5,6,4,5,3,9,4,2,9,6,3,One Plus,Online,White/Colourless,Never,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Female,Student,Other towns in South,D21037,Praxis,
653,8,9,6,5,6,9,5,0,9,5,3,0,4,5,Xiaomi,Retail,I do not consume soft drinks at all,Never,Everyday,Everyday,Never,Newspaper,Retail Stores,24-28,Female,Student,Other towns in South,D21027,Praxis Business School,
654,10,10,5,2,10,4,2,5,5,10,2,3,2,9,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in North,A21034,Praxis Business School,
655,10,10,8,8,8,9,8,7,8,8,9,7,5,3,Xiaomi,Online,I do not consume soft drinks at all,Never,Everyday,Less Often,Less Often,Online,Retail Stores,29-33,Male,Student,Kolkata,A21021,Praxis Business School,
656,7,8,7,6,9,3,6,8,7,7,6,8,7,4,Xiaomi,Online,White/Colourless,Never,Everyday,Less Often,Never,Newspaper,Retail Stores,24-28,Male,Student,Kolkata,A21009,Praxis Business School,
657,8,10,10,5,10,7,5,3,3,9,9,9,4,9,Others,Online,Cola,Never,Less Often,Never,Never,Online,Retail Stores,24-28,Male,Student,Other towns in South,D21017,PRAXIS   BENGALORE ,
658,9,7,9,3,5,9,8,8,9,10,8,7,5,5,Apple,Online,I do not consume soft drinks at all,Never,Everyday,Less Often,Never,Online,Online,34-40,Male,Student,Other towns in North,A21012,"Praxis Business School, Kolkata",
659,8,10,3,9,9,3,1,5,4,8,1,1,5,1,One Plus,Online,Cola,Never,Less Often,Never,Never,Online,Retail Stores,24-28,Male,Student,Other towns in South,D21021,Praxis Business School,
660,7,6,7,2,10,10,5,1,5,9,0,0,8,2,Others,Retail,I do not consume soft drinks at all,Never,Less Often,Everyday,Never,Newspaper,Retail Stores,24-28,Male,Student,Hyderabad,A21016,Praxis Business School,
661,3,8,5,8,5,4,8,9,1,9,6,4,5,4,Xiaomi,Online,Orange,Never,Less Often,Less Often,Less Often,Newspaper,Online,24-28,Female,Student,Other towns in South,D21005,Praxis Bangalore,
662,8,8,6,5,10,10,1,1,9,8,5,0,1,0,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in East,A21023,Praxis,
663,3,9,3,5,10,7,0,2,8,9,1,1,2,5,Xiaomi,Online,I do not consume soft drinks at all,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in West,D21002,Praxis Business School,
664,8,9,3,5,6,6,2,3,3,3,4,7,7,4,Apple,Retail,Fruit flavour,Never,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Student,Chennai,D21034,Praxis Business School,
665,6,8,8,10,9,3,9,5,10,8,4,7,10,2,Apple,Retail,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Student,Mumbai,D21031,Praxis Business School,
666,9,9,6,9,9,3,5,4,9,6,4,5,3,7,Others,Online,White/Colourless,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in West,D21030,Praxis Business School,
667,5,10,3,3,10,5,5,4,8,5,5,6,4,5,Others,Online,Cola,Less Often,Everyday,Everyday,Never,Online,Online,29-33,Male,Student,Other towns in East,A21019,Praxis Business School,
668,6,9,3,10,8,2,7,7,10,10,5,8,8,10,Apple,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Other towns in East,A21022,Praxis Business School,
669,2,8,8,8,8,8,8,2,8,2,8,2,8,2,Samsung,Online,Fruit flavour,Never,Never,Never,Never,Online,Online,24-28,Male,Student,Other towns in East,D21023,PRAXIS,
670,10,9,8,5,10,10,7,7,8,2,5,6,7,2,Xiaomi,Retail,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in West,A21005,Praxis Business School,
671,2,10,8,5,7,8,8,1,6,10,3,0,2,5,Apple,Online,I do not consume soft drinks at all,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,29-33,Male,Student,Delhi,D21019,Praxis,
672,8,10,8,7,10,5,2,8,9,10,2,0,0,8,One Plus,Online,Cola,Less Often,Less Often,Less Often,Everyday,Online,Retail Stores,24-28,Male,Student,Other towns in North,A21030,Praxis Business School,
673,8,9,7,8,10,9,7,4,7,9,8,3,2,3,Xiaomi,Online,Cola,Never,Everyday,Less Often,Never,Online,Online,24-28,Male,Student,Other towns in West,D21028,Praxis Business School,
674,8,10,9,4,10,0,1,4,10,10,8,3,5,10,Xiaomi,Online,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in East,A21031,Praxis Business School,
675,7,10,8,6,10,2,8,9,10,10,5,9,2,6,One Plus,Online,Orange,Never,Less Often,Never,Never,Online,Retail Stores,24-28,Male,Student,Bangalore,D21010,Praxis,
676,4,10,10,8,6,6,7,8,8,10,9,6,9,5,Others,Online,I do not consume soft drinks at all,Everyday,Everyday,Less Often,Less Often,Online,Online,24-28,Male,Student,Other towns in East,D21008,Praxis Buisness School,
677,8,8,0,7,0,7,0,0,10,10,0,4,10,1,Apple,Online,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Student,Delhi,D21015,PRAXIS BUSINESS SCHOOL,
678,2,10,0,8,10,7,10,1,3,2,2,1,1,1,Vivo,Online,Fruit flavour,Less Often,Everyday,Less Often,Never,Online,Online,24-28,Male,Student,Other towns in South,D21039,Praxis,
679,8,8,7,6,8,2,9,10,8,1,9,8,10,6,Apple,Retail,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Student,Other towns in East,A21036,Praxis Business School,
680,4,8,4,2,8,4,8,6,7,10,8,5,5,8,One Plus,Online,Cola,Less Often,Everyday,Everyday,Never,Online,Online,24-28,Male,Student,Mumbai,D21029,Praxis,
681,7,9,6,7,10,1,7,1,8,9,6,6,1,1,Xiaomi,Online,White/Colourless,Everyday,Everyday,Everyday,Less Often,Online,Online,29-33,Male,Student,Kolkata,A21011,Praxis Business School,
682,5,8,7,7,8,8,5,4,9,8,5,5,9,7,Xiaomi,Online,White/Colourless,Less Often,Everyday,Everyday,Less Often,Newspaper,Retail Stores,24-28,Male,Student,Kolkata,A21026,Praxis Business School,
683,5,7,7,7,7,6,7,7,7,7,6,4,6,7,Xiaomi,Retail,White/Colourless,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Other towns in East,A21033,Praxis Business School,
684,9,8,9,8,9,7,3,9,10,5,8,8,6,4,Samsung,Online,White/Colourless,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in East,D21035,Praxis Business School,
685,10,10,8,10,7,9,9,6,8,9,7,6,6,6,Others,Online,White/Colourless,Everyday,Less Often,Less Often,Less Often,Online,Online,24-28,Male,Student,Other towns in West,D21011,Praxis Business School,
686,8,9,2,2,9,8,2,2,8,9,1,8,2,8,Vivo,Online,White/Colourless,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in South,D21009,Praxis Business School,
687,10,10,5,10,8,1,5,10,10,10,10,10,10,10,Oppo,Online,I do not consume soft drinks at all,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in East,A21013,Praxis Business School,
688,0,10,5,10,10,10,10,7,8,10,10,5,7,0,Others,Online,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in East,A21037,PRAXIS,
689,6,9,1,0,5,7,7,1,8,8,4,6,6,6,One Plus,Online,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Mumbai,B2021096,GIM,
690,8,8,3,3,7,3,2,3,7,8,5,1,3,8,Others,Online,Fruit flavour,Never,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in West,B2021057,Goa Institute of Management,
691,5,6,3,10,10,9,7,0,0,10,10,0,2,1,One Plus,Online,White/Colourless,Less Often,Everyday,Never,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in West,B2021083,goa institute of management,
692,7,8,6,9,5,10,6,6,7,7,9,7,7,6,Vivo,Retail,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Other towns in South,B2021081,Goa Institute of Management,
693,7,5,7,3,8,6,7,7,4,6,5,4,5,4,Xiaomi,Online,I do not consume soft drinks at all,Everyday,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in East,B2021095,Goa Institute of Management,
694,8,8,5,6,5,7,2,1,8,7,6,2,1,1,Others,Online,White/Colourless,Never,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in West,B2021065,Goa Institute of Management,
695,9,10,7,10,9,5,10,10,10,10,1,10,10,10,One Plus,Online,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in West,B2021097,GIM,
696,10,9,2,0,0,10,1,1,9,0,2,7,0,2,Apple,Retail,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Less Often,Newspaper,Retail Stores,18-23,Male,Student,Other towns in West,B2021080,Goa institute of Management,
697,2,10,8,1,10,2,1,1,4,6,5,0,3,9,Xiaomi,Retail,Fruit flavour,Never,Everyday,Never,Never,Newspaper,Retail Stores,24-28,Male,Student,Kolkata,B2021093,Goa Institute of Management,
698,3,10,10,7,10,3,10,10,10,10,10,10,10,10,One Plus,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Student,Hyderabad,B2021062,Goa Institute of Management,
699,7,9,9,9,9,9,4,9,5,10,0,6,9,1,Xiaomi,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Newspaper,Retail Stores,24-28,Female,Student,Other towns in West,B2021091,Goa Institute Of Managemnet,
700,9,9,9,4,9,7,5,2,6,9,5,5,7,6,Apple,Retail,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in North,B2021066,GIM,
701,5,9,6,9,4,4,7,2,8,8,3,8,8,9,Apple,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Student,Other towns in North,B2021077,Goa Institute of Management,
702,10,8,8,4,10,9,3,1,9,10,8,5,8,4,Others,Second hand mobile sources,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Mumbai,B2021101,Goa Institute of Management,
703,10,10,7,4,3,9,4,1,5,5,2,2,2,8,Xiaomi,Retail,Cola,Less Often,Everyday,Everyday,Never,Online,Retail Stores,18-23,Female,Student,Other towns in West,B2021102,Goa Institute of Management,
704,5,4,3,5,9,5,2,5,8,7,2,3,5,5,Others,Online,Fruit flavour,Never,Less Often,Everyday,Less Often,Online,Retail Stores,29-33,Male,Student,Other towns in North,B2021060,Goa Institute of Management,
705,5,8,2,5,8,10,4,3,4,8,5,3,4,1,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in South,B2021061,Goa institute of management ,
706,3,7,6,9,8,8,8,9,7,7,8,4,6,4,One Plus,Online,I do not consume soft drinks at all,Everyday,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Student,Other towns in North,B2021058,Goa institute of management ,
707,8,8,9,9,10,9,10,10,10,9,10,10,10,8,Samsung,Online,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Online,18-23,Male,Student,Mumbai,B2021084,Goa Institute of Management,
708,8,8,3,2,10,0,5,9,7,10,10,0,7,10,One Plus,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Student,Other towns in West,B2021072,GIM,
709,7,5,5,4,3,4,7,3,4,8,3,7,9,9,Apple,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Delhi,B2021105,Goa Institute of Management ,
710,5,9,8,6,6,6,8,3,9,10,4,8,4,7,Others,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Student,Other towns in West,B2021068,Goa Institute of Managment ,
711,9,10,8,9,8,10,7,2,10,9,4,2,3,2,Apple,Retail,White/Colourless,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Female,Student,Other towns in North,B2021079,Goa Institute of Management ,
712,6,7,5,8,5,9,9,8,8,8,6,9,9,7,One Plus,Online,Cola,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Male,Student,Other towns in West,B2021071,Goa Institiue of Management,
713,4,8,2,0,5,5,1,1,10,9,9,5,2,8,One Plus,Online,Cola,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in South,B2021075,Goa Institute of Managment,
714,6,8,8,7,10,8,3,3,5,9,3,3,4,3,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Newspaper,Retail Stores,24-28,Male,Student,Other towns in East,B2021026,Goa Institute of Management ,
715,6,5,6,2,10,6,7,8,3,7,4,1,1,4,One Plus,Online,White/Colourless,Never,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Female,Student,Other towns in South,B2021019,Goa Institute of Management,
716,7,9,6,9,7,8,3,6,10,9,5,7,7,5,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Online,18-23,Male,Student,Delhi,B2021039,Sarthak Kumar bal,
717,5,6,6,9,10,4,1,6,2,10,7,4,3,4,Apple,Retail,White/Colourless,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in West,B2021013,Goa Institute of Management,
718,5,9,3,5,10,6,7,10,6,5,10,0,6,6,One Plus,Online,White/Colourless,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Student,Kolkata,B2021051,Goa Institute of Management,
719,6,7,7,8,8,8,6,6,7,7,8,8,8,9,Apple,Retail,White/Colourless,Less Often,Never,Never,Less Often,Online,Retail Stores,24-28,Male,Student,Delhi,B2021028,Gim,
720,9,10,5,9,10,10,7,8,5,10,7,2,2,5,Samsung,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in North,B2021023,Goa Institute of Management,
721,9,9,1,1,10,8,1,0,3,10,3,8,6,2,Apple,Online,White/Colourless,Never,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in South,B2021001,Goa Institute of Management,
722,8,6,3,4,8,3,2,3,8,10,3,2,2,8,Apple,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Student,Delhi,B2021020,Goa institute of management ,
723,6,7,3,5,9,7,8,4,6,8,9,5,5,5,Samsung,Retail,Orange,Never,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Student,Other towns in West,B2021015,Goa institute of management,
724,7,7,6,9,7,1,0,10,5,10,7,7,6,10,Others,Retail,Cola,Never,Less Often,Everyday,Less Often,Newspaper,Retail Stores,18-23,Male,Student,Other towns in East,B2021048,Goa institute of management,
725,9,10,2,2,10,9,0,1,9,9,9,1,0,4,One Plus,Online,Fruit flavour,Never,Less Often,Less Often,Never,Online,Online,24-28,Female,Student,Other towns in West,B2021021,Goa Institute of Management,
726,10,10,7,0,8,10,0,0,10,8,4,0,0,9,Others,Online,White/Colourless,Never,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in East,B2021040,Goa Institute of Management,
727,9,6,4,7,6,3,2,5,6,10,7,0,2,5,Samsung,Retail,I do not consume soft drinks at all,Never,Everyday,Everyday,Less Often,Online,Online,18-23,Male,Student,Other towns in East,B2021052,Goa Institute of Management,
728,5,9,8,7,7,10,6,3,8,5,6,9,7,8,One Plus,Online,Cola,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Male,Student,Other towns in South,B2021027,Goa institute of Management,
729,2,8,10,10,3,6,10,8,1,10,4,7,7,5,Apple,Retail,I do not consume soft drinks at all,Less Often,Everyday,Everyday,Less Often,Newspaper,Online,24-28,Female,Student,Bangalore,B2021007,Goa Institute of Management,
730,8,5,8,3,1,4,0,3,4,7,1,5,0,4,Samsung,Retail,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in West,B2021017,Goa Institute of Management,
731,8,10,8,10,5,8,8,6,10,5,5,10,8,8,Samsung,Retail,Orange,Never,Everyday,Everyday,Less Often,Newspaper,Online,18-23,Male,Student,Chennai,B2021044,Goa Institute of Management,
732,8,10,8,0,10,4,5,2,10,10,7,1,4,1,One Plus,Online,Fruit flavour,Everyday,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Mumbai,B2021031,GOA INSTITUTE OF MANAGEMENT,
733,8,10,7,9,9,7,2,6,6,8,8,8,8,7,Others,Online,Orange,Everyday,Less Often,Less Often,Everyday,Online,Retail Stores,24-28,Male,Student,Other towns in North,B2021041,Goa institute of management,
734,4,9,2,6,9,1,10,8,9,9,6,5,8,9,Apple,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Female,Student,Delhi,B2021008,Goa Institute of Management ,
735,0,3,10,10,0,0,10,10,10,9,10,8,6,6,One Plus,Retail,Fruit flavour,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Female,Student,Other towns in West,B2021045,Goa Institute of Management,
736,9,10,6,8,10,10,8,8,10,10,10,5,7,2,Apple,Online,Cola,Everyday,Everyday,Everyday,Never,Online,Online,24-28,Male,Student,Other towns in North,B2021011,Goa Institute of Management,
737,8,7,9,6,10,7,10,8,8,10,5,8,10,5,Apple,Retail,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in East,B2021022,Goa Institute of Management ,
738,8,8,9,9,8,10,5,6,7,10,10,9,6,5,Xiaomi,Online,Fruit flavour,Less Often,Less Often,Less Often,Everyday,Online,Retail Stores,24-28,Male,Student,Other towns in South,B2021003,Goa institute of management,
739,4,8,7,9,10,7,9,3,3,3,3,6,7,3,Xiaomi,Online,Fruit flavour,Never,Less Often,Never,Never,Newspaper,Retail Stores,24-28,Male,Student,Other towns in South,B2021004,Goa Institute of Management,
740,8,10,6,4,4,6,9,10,10,10,10,10,7,10,Apple,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Student,Bangalore,B2021018,Goa Institute of Management,
741,8,10,6,9,10,6,9,9,6,9,9,7,8,6,Xiaomi,Online,Cola,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Kolkata,B2021035,GIM,
742,8,8,6,9,9,8,3,5,7,8,6,6,6,4,Samsung,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Other towns in North,B2021054,Goa Institute of Management,
743,8,8,7,4,6,8,8,3,2,4,6,5,7,5,Apple,Retail,Orange,Never,Less Often,Everyday,Everyday,Online,Online,24-28,Male,Student,Other towns in South,B2021078,Goa Institute of Management ,
744,9,9,8,8,8,7,7,9,6,8,9,8,7,8,One Plus,Retail,I do not consume soft drinks at all,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Male,Student,Other towns in East,B2021010,Arunesh ,
745,7,10,4,10,10,8,3,2,7,2,2,6,6,10,One Plus,Online,Fruit flavour,Never,Never,Never,Never,Online,Online,24-28,Male,Student,Other towns in South,B2021014,Goa Institute of Management,
746,10,10,6,3,3,1,1,1,4,10,8,0,3,8,Others,Online,White/Colourless,Less Often,Less Often,Everyday,Less Often,Online,Online,29-33,Female,Student,Kolkata,B2021030,Goa Institute of Management ,
747,2,9,5,5,10,4,3,3,10,10,10,0,0,0,Apple,Online,Cola,Less Often,Less Often,Never,Never,Online,Online,24-28,Male,Student,Other towns in North,B2021005,Goa Institute of Management ,
748,7,10,3,5,10,3,2,3,5,10,10,6,4,5,Samsung,Online,White/Colourless,Never,Never,Never,Never,Online,Retail Stores,18-23,Male,Student,Other towns in South,B2021038,GIM,
749,5,6,5,4,7,2,3,8,9,9,8,0,5,7,Apple,Online,Cola,Never,Everyday,Less Often,Never,Online,Online,24-28,Male,Student,Mumbai,B2021036,GIM,
750,7,9,3,2,9,2,8,7,9,9,9,2,2,2,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Student,Other towns in West,B2021047,Goa Institute of Management,
751,5,8,8,8,5,6,8,7,6,9,7,6,6,6,Vivo,Online,White/Colourless,Everyday,Less Often,Never,Less Often,Online,Retail Stores,24-28,Male,Student,Kolkata,B2021099,GIM,
752,7,6,6,8,7,3,9,8,2,9,9,4,6,8,Apple,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Student,Other towns in North,B2021033,Hoa institute of management ,
753,8,10,7,9,9,10,7,8,9,9,6,6,7,2,Apple,Retail,Fruit flavour,Less Often,Everyday,Everyday,Never,Online,Online,24-28,Male,Student,Hyderabad,B2021049,Goa Institute of Management,
754,5,9,3,10,10,10,10,5,9,9,5,5,10,10,Others,Retail,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Female,Student,Other towns in West,B2021024,Goa institute of management,
755,6,10,5,10,10,8,8,10,10,9,4,7,10,1,Samsung,Online,Orange,Never,Less Often,Everyday,Less Often,Newspaper,Retail Stores,18-23,Male,Student,Other towns in North,B2021088,Goa institute of Management ,
756,2,8,6,8,6,10,4,8,8,9,6,4,4,2,Others,Online,Cola,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Delhi,A21003,Praxis Business School,
757,8,10,5,1,9,5,9,0,10,10,8,0,1,10,Xiaomi,Online,White/Colourless,Everyday,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Female,Student,Delhi,B2021069,Goa Institute of Management,
758,7,9,6,5,4,4,7,7,2,10,6,1,0,6,One Plus,Retail,Orange,Everyday,Less Often,Less Often,Less Often,Online,Online,18-23,Male,Student,Delhi,F2021004,Goa Institute of Management,
759,5,7,7,6,5,10,9,5,4,5,2,4,9,5,Apple,Retail,I do not consume soft drinks at all,Never,Everyday,Less Often,Less Often,Online,Retail Stores,18-23,Female,Student,Other towns in West,F2021028,Goa Institute of Management (GIM),
760,7,8,9,5,10,8,9,2,9,9,2,4,6,4,Others,Online,Cola,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Student,Delhi,F2021034,Goa Institute of Management ,
761,8,10,8,3,9,8,6,4,6,8,8,5,8,3,Samsung,Online,Fruit flavour,Everyday,Everyday,Everyday,Everyday,Online,Online,24-28,Male,Student,Other towns in West,F2021055,Goa Institute of Management,
